10.228.85.203 es1-anp-kosmonavt34-p1 Космонавтов, д. 34
10.228.85.204 es1-anp-kosmonavt34-p2 Космонавтов, д. 34
10.228.85.207 es1-anp-krylova17-1 Крылова, д. 17/к.1
10.228.85.208 es1-anp-krylova17-3 Крылова, д. 17/к.3
10.228.85.209 es1-anp-krylova17-4 Крылова, д. 17/к.4
10.228.85.105 es1-anp-lenina179b-p2 Ленина, д. 179/к.Б
10.228.85.176 es2-anp-lenina131 Ленина, д. 131
10.228.88.5 es3-anp-lenina131 Ленина, д. 131
10.228.85.172 es1-anp-lenina134-p2 Ленина, д. 134
10.228.85.237 es2-anp-lenina134-p2 Ленина, д. 134
10.228.85.149 es1-anp-lenina141-p1 Ленина, д. 141
10.228.85.150 es1-anp-lenina141-p5 Ленина, д. 141
10.228.85.236 es1-anp-lenina163a Ленина, д. 163/к.А
10.228.85.238 es2-anp-lenina169-p2 Ленина, д. 169
10.228.85.225 es2-anp-lenina173-5-p2 Ленина, д. 173/к.5
10.228.85.219 es2-anp-lenina181-p2 Ленина, д. 181
10.228.85.226 es1-anp-lenina183-p1 Ленина, д. 183
10.228.85.227 es1-anp-lenina183-p2 Ленина, д. 183
10.228.85.230 es1-anp-lenina193-p2 Ленина, д. 193
10.228.85.231 es1-anp-lenina193-p4 Ленина, д. 193
10.228.85.232 es1-anp-lenina195-p1 Ленина, д. 195
10.228.85.233 es1-anp-lenina195-p2 Ленина, д. 195
10.228.85.234 es1-anp-lenina195-p3 Ленина, д. 195
10.228.85.245 es1-anp-lenina209-p2 Ленина, д. 209
10.228.85.246 es1-anp-lenina209-p6 Ленина, д. 209
10.228.85.242 es1-anp-lenina211 Ленина, д. 211
10.228.85.249 es1-anp-lenina217-p2 Ленина, д. 217
10.228.85.250 es1-anp-lenina217-p4 Ленина, д. 217
10.228.85.251 es1-anp-lenina219-p2 Ленина, д. 219
10.228.88.23 d1-anp-stahan13-p5 Стахановская, д. 13
10.228.85.39 es1-anp-stahan19-p1 Стахановская, д. 19/стр. 1
10.228.85.40 es1-anp-stahan19-p2 Стахановская, д. 19/стр. 2
10.228.85.41 es1-anp-stahan19-p3 Стахановская, д. 19/стр. 3
10.228.85.42 es1-anp-stahan19-p4 Стахановская, д. 19/стр. 4
10.228.85.43 es1-anp-stahan19-p5 Стахановская, д. 19/стр. 5
10.228.85.163 es1-anp-astrah84 Астраханская, д. 84
10.228.85.220 es3-anp-astrah84 Астраханская, д. 84
10.228.85.165 es1-anp-astrah86-p1 Астраханская, д. 86
10.228.88.10 d1-anp-astrah86-p1 Астраханская, д. 86
10.228.85.214 es2-anp-krymskaya272-p2 Крымская, д. 272
10.228.88.4 es2-anp-krymskaya272-p5 Крымская, д. 272
10.228.85.239 es2-anp-krasno-zelenyh7-p2 Красно-зеленых, д. 7
10.228.85.14 es1-anp-pervomajskaya22 Первомайская, д. 22
10.228.85.168 es1-anp-prom9-2-p1 Промышленная, д. 9/к.2
10.228.85.169 es1-anp-prom9-2-p2 Промышленная, д. 9/к.2
10.228.85.170 es1-anp-prom7a-p1 Промышленная, д. 7/к.А
10.228.85.171 es1-anp-prom7a-p3 Промышленная, д. 7/к.А
10.228.85.178 es1-anp-prom9-p1 Промышленная, д. 9
