10.228.115.68 d1-mkp-yubiley2-a-p9 Юбилейная, д. 2/к.а
10.228.115.77 d1-mkp-yunnatov3-p2 Юннатов, д. 3
10.228.115.63 d1-mkp-yunnatov24-p2 Юннатов, д. 24
10.228.115.64 d1-mkp-yunnatov24-p3 Юннатов, д. 24
10.228.113.55 es1-mkp-pervomay226-p5 Первомайская, д. 226
10.228.113.37 es1-mkp-gorkogo196-p4 Горького, д. 196
10.228.113.38 es1-mkp-pioner496-p2 Пионерская, д. 496
10.228.113.39 es1-mkp-pioner494-p2 Пионерская, д. 494
10.228.113.102 es1-mkp-proletar353-p7 Пролетарская, д. 353
10.228.113.204 d1-mkp-pryamaya2-b-p2 Прямая, д. 2/к.б
10.228.113.213 d1-mkp-sport1-p2 Спортивная, д. 1
10.228.113.214 d1-mkp-sport1-a-p2 Спортивная, д. 1/к.а
10.228.113.215 d1-mkp-lesnaya2-p2 Лесная, д. 2
10.228.113.222 d1-mkp-lesnaya8-p2 Лесная, д. 8
10.228.113.223 d1-mkp-lesnaya10-p2 Лесная, д. 10
10.228.113.221 d1-mkp-shovgenova2-p2 Шовгенова, д. 2
10.228.113.212 d1-mkp-sport2-p2 Спортивная, д. 2
10.228.113.203 d1-mkp-sport4-p3 Спортивная, д. 4
10.228.113.211 d1-mkp-sport4-a-p2 Спортивная, д. 4/к.а
10.228.113.210 d1-mkp-kirpichnaya75-p2 Кирпичная, д. 75
10.228.113.209 d1-mkp-pryamaya5-a-p2 Прямая, д. 5/к.а
10.228.113.206 d1-mkp-kirpichnaya73-p3 Кирпичная, д. 73
10.228.113.207 d1-mkp-kirpichnaya73-p4 Кирпичная, д. 73
10.228.113.216 d1-mkp-shovgenova4-p3 Шовгенова, д. 4
10.228.115.112 d1-mkp-gogolya91-p4 Гоголя, д. 91
10.228.115.94 es1-mkp-hakurate224 Хакурате, д. 224
10.228.115.121 qs1-mkp-chkalova80-p2 Чкалова, д. 80
10.228.115.126 es2-mkp-shkolnaya191-p2 Школьная, д. 191
10.228.115.125 es1-mkp-2kirpichnaya7-p3 Кирпичная 2-я, д. 7
10.228.113.234 d1-mkp-2kirpichnaya7-p3 Кирпичная 2-я, д. 7
10.228.113.241 d1-mkp-2kirpichnaya4-p3 Кирпичная 2-я, д. 4
10.228.113.235 d1-mkp-2kirpichnaya9-p3 Кирпичная 2-я, д. 9
10.228.113.248 d1-mkp-2korotkaya12-p1 Короткая 2-я, д. 12
10.228.113.249 d1-mkp-2korotkaya12-p2 Короткая 2-я, д. 12
10.228.113.245 d1-mkp-2korotkaya3-p2 Короткая 2-я, д. 3
10.228.113.246 d1-mkp-2korotkaya5-p3 Короткая 2-я, д. 5
10.228.113.247 d1-mkp-2korotkaya7-p2 Короткая 2-я, д. 7
10.228.113.254 d1-mkp-2krestyanskaya10-p1 Крестьянская 2-я, д. 10
10.228.115.4 d1-mkp-2krestyanskaya10-p2 Крестьянская 2-я, д. 10
10.228.113.226 d1-mkp-kirpichnaya51-p2 Кирпичная, д. 51
10.228.113.208 d1-mkp-kirpichnaya82-p2 Кирпичная, д. 82
10.228.115.5 d1-mkp-kommunarov123-p1 Коммунаров, д. 123
10.228.115.6 d1-mkp-kommunarov123-p2 Коммунаров, д. 123
10.228.113.236 d1-mkp-kommunarov13-p1 Коммунаров, д. 13
10.228.113.237 d1-mkp-2kirpichnaya7-p3 Коммунаров, д. 13
10.228.113.250 d1-mkp-kuzhorskaya100-p1 Кужорская, д. 100
10.228.113.251 d1-mkp-kuzhorskaya100-p2 Кужорская, д. 100
10.228.113.252 d1-mkp-kuzhorskaya102-p1 Кужорская, д. 102
10.228.113.253 d1-mkp-kuzhorskaya102-p Кужорская, д. 102
10.228.115.86 d1-mkp-mihailova1-p2 Михайлова, д. 1
10.228.113.199 d1-mkp-shovgenova10-p1 Шовгенова, д. 10
10.228.113.200 d1-mkp-shovgenova8-p2 Шовгенова, д. 8
10.228.113.218 d1-mkp-sport5-p1 Спортивная, д. 5
10.228.113.202 d1-mkp-sport6-p2 Спортивная, д. 6
10.228.113.217 d1-mkp-sport7-p1 Спортивная, д. 7
10.228.113.224 d1-mkp-zavodskaya3-p2 Заводская, д. 3
10.228.113.225 d1-mkp-zavodskaya3-p5 Заводская, д. 3
10.228.113.228 d1-mkp-zhelezno154-p2 Железнодорожная, д. 154
10.228.113.230 d1-mkp-zhelezno160-p3 Железнодорожная, д. 160
10.228.113.231 d1-mkp-zhelezno162-p2 Железнодорожная, д. 162
10.228.113.232 d1-mkp-zhelezno164-p1 Железнодорожная, д. 164
10.228.113.242 d1-mkp-zhelezno166-1-p1 Железнодорожная, д. 166/к.1
10.228.113.243 d1-mkp-zhelezno166-2-p1 Железнодорожная, д. 166/к.2
10.228.113.244 d1-mkp-zhelezno170-p3 Железнодорожная, д. 170
10.228.113.177 es1-mkp-5pereulok1-p2 5-й, д. 1
10.228.113.182 es1-mkp-5pereulok24-p1 5-й, д. 24
10.228.113.175 es1-mkp-5pereulok3-p2 5-й, д. 3
10.228.113.176 es1-mkp-5pereulok3-p4 5-й, д. 3
10.228.113.180 es1-mkp-5pereulok7-p2 5-й, д. 7
10.228.113.181 es1-mkp-5pereulok9-p2 5-й, д. 9
10.228.113.178 es1-mkp-6pereulok3-1-p1 6-й, д. 3/к.1
10.228.113.179 es1-mkp-6pereulok3-1-p6 6-й, д. 3/к.1
10.228.113.190 es1-mkp-7pereulok10-p2 7-й, д. 10
10.228.113.191 es1-mkp-7pereulok10-p5 7-й, д. 10
10.228.113.188 es1-mkp-7pereulok12-p1 7-й, д. 12
10.228.113.189 es1-mkp-7pereulok12-p5 7-й, д. 12
10.228.113.187 es1-mkp-7pereulok16-p2 7-й, д. 16
10.228.113.185 es1-mkp-7pereulok18-p1 7-й, д. 18
10.228.113.186 es1-mkp-7pereulok18-p5 7-й, д. 18
10.228.113.183 es1-mkp-7pereulok20-p1 7-й, д. 20
10.228.113.184 es1-mkp-7pereulok20-p5 7-й, д. 20
10.228.113.198 d1-mkp-7pereulok2-a-p2 7-й, д. 2/к.а
10.228.113.197 es1-mkp-7pereulok2-p2 7-й, д. 2
10.228.113.195 es1-mkp-7pereulok4-p3 7-й, д. 4
10.228.113.196 es1-mkp-7pereulok4-p4 7-й, д. 4
10.228.113.192 es1-mkp-7pereulok6-p2 7-й, д. 6
10.228.113.193 es1-mkp-7pereulok8-p1 7-й, д. 8
10.228.113.194 es1-mkp-7pereulok8-p5 7-й, д. 8
10.228.113.170 es1-mkp-mihailova13-p2 Михайлова, д. 13
10.228.113.173 es1-mkp-mihailova15-p2 Михайлова, д. 15
10.228.113.174 es1-mkp-mihailova15-p3 Михайлова, д. 15
10.228.113.169 es1-mkp-mihailova3-p2 Михайлова, д. 3
10.228.113.17 es1-mkp-pioner417-p3 Пионерская, д. 417
10.228.113.90 es1-mkp-proletar304-p3 Пролетарская, д. 304
10.228.113.125 es1-mkp-proletar454-p2 Горького, д. 214
10.228.113.30 es1-mkp-yunnatov2-v-p2 Юннатов, д. 2/к.в
10.228.115.124 es2-mkp-8mart24-p1 8 Марта, д. 24
10.228.113.135 qs1-mkp-pioner383-2-p3 Пионерская, д. 383/к.2
10.228.113.15 qs1-mkp-proletar454-p3 Горького, д. 214
10.228.115.129 d1-mkp-pioner409-2-p2 Пионерская, д. 409/к.2
10.228.115.130 d1-mkp-deputat20-p3 Депутатская, д. 20
10.228.115.131 d1-mkp-proletar386-p2 Пролетарская, д. 386
10.228.113.240 d1-mkp-2dubzavodskaya1-p2 Дубзаводская 2-я, д. 1
10.228.113.10 es1-mkp-shosseinaja22-p2 Шоссейная, д. 22
10.228.115.132 d1-mkp-12mart144-2-p2 12 Марта, д. 144/к.2
10.228.115.133 d1-mkp-marksa2-p5 Карла Маркса, д. 2
10.228.115.134 d1-mkp-pioner391-p2 Пионерская, д. 391
10.228.115.135 d2-mkp-sport1-p2 Спортивная, д. 1
10.228.113.45 es1-mkp-lenin23-p2 Ленина, д. 23
10.228.115.138 d1-mkp-titov87-p2 Титова, д. 87
10.228.115.140 d2-mkp-svobod413-a-p2 Свободы, д. 413/к.а
10.228.115.142 es2-mkp-chkalova79-p2 Чкалова, д. 79
10.228.113.108 d2-mkp-2korotkaya5-p3 Короткая 2-я, д. 5
10.228.115.141 d1-mkp-proletar400-p2 Пролетарская, д. 400
10.228.115.10 d1-mkp-12mart150-1-p2 12 Марта, д. 150/к.1
10.228.115.147 d1-mkp-proletar271-p2 Пролетарская, д. 271
10.228.115.146 d1-mkp-12mart142-p1 12 Марта, д. 142
10.228.115.148 d1-mkp-shkolnaya159-p1 Школьная, д. 159
10.228.115.150 d1-mkp-proletar302-p2 Пролетарская, д. 302
10.228.115.153 d1-mkp-mykop43-p1 Майкопская, д. 43
10.228.115.154 d1-mkp-7pereulok6-p2 7-й, д. 6
10.228.115.155 d2-mkp-sport4-p3 Спортивная, д. 4
10.228.115.156 d1-mkp-proletar353-p7 Пролетарская, д. 353
10.228.115.159 dm1-mkp-dimit13 Димитрова, д. 13
10.228.115.158 dm1-mkp-shosseinaja20-p2 Шоссейная, д. 20
10.228.113.201 es1-mkp-6pereulok1-p2 6-й, д. 1
10.228.115.160 dm2-mkp-yunnatov24-p3 Юннатов, д. 24
10.228.113.14 d1-mkp-lenin23-p2 Ленина, д. 23
10.228.113.153 d2-mkp-pioner409-2-p2 Пионерская, д. 409/к.2
10.228.115.163 d1-mkp-komsomolsk195-p3 Комсомольская, д. 195
10.228.115.164 d1-mkp-proletar449-p1 Пролетарская, д. 449
10.228.115.60 d1-mkp-8mart22-p1 8 Марта, д. 22
10.228.115.161 d1-mkp-8mart22-p3 8 Марта, д. 22
10.228.115.162 d1-mkp-8mart22-p5 8 Марта, д. 22
10.228.115.165 d2-mkp-dimit11-1-p2 Димитрова, д. 11/к.1
10.228.115.168 d2-mkp-3inter445-p1 3 Интернационала, д. 445
10.228.115.169 d1-mkp-mihailova4-a-p2 Михайлова, д. 4/к.а
10.228.115.176 qf1-mkp-sport1-p2 Спортивная, д. 1
10.228.115.175 qf1-mkp-proletar304-p3 Пролетарская, д. 304
10.228.115.177 qf1-mkp-8mart24-p1 8 Марта, д. 24
10.228.115.182 d1-mkp-deputat16-p2 Депутатская, д. 16
10.228.115.178 d1-mkp-pioner411-p2 Пионерская, д. 411
10.228.115.183 d1-mkp-deputat16-p4 Депутатская, д. 16
10.228.115.180 d1-mkp-pioner411-p4 Пионерская, д. 411
10.228.115.188 d2-mkp-yunnatov3-p1 Юннатов, д. 3
10.228.115.192 d3-mkp-dimit18-p1 Димитрова, д. 18
10.228.115.189 d2-mkp-yunnatov3-p2 Юннатов, д. 3
10.228.115.191 d2-mkp-zhelezno166-1-p1 Железнодорожная, д. 166/к.1
10.228.115.190 d2-mkp-krasnokt65-p3 Краснооктябрьская, д. 65
10.228.113.227 d2-mkp-kirpichnaya53-p2 Кирпичная, д. 53
10.228.115.193 qf1-mkp-proletar386-p2 Пролетарская, д. 386
10.228.115.194 qf1-mkp-12mart144-2-p2 Димитрова, д. 13
10.228.115.137 d1-mkp-12mart132-p2 12 Марта, д. 132
10.228.115.83 d2-mkp-dimit20-p1 Димитрова, д. 20
10.228.115.171 d1-mkp-krestyan355-p5 Крестьянская, д. 355
10.228.115.89 es2-mkp-pioner374-b-p3 Пионерская, д. 374/к.б
10.228.115.179 d2-mkp-chkalova84-p6 Чкалова, д. 84
10.228.115.195 d2-mkp-chkalova82-p3 Чкалова, д. 82
10.228.115.196 d1-mkp-pioner415-3-p1 Пионерская, д. 415/к.3
10.228.115.197 d1-mkp-krestyan387-p1 Крестьянская, д. 387
10.228.113.172 d1-mkp-mihailova9-p2 Михайлова, д. 9
10.228.113.140 es1-mkp-shosseinaja2-p2 Шоссейная, д. 2
10.228.115.186 d2-mkp-svobod417-a-p1 Свободы, д. 417/к.а
10.228.113.120 qf1-mkp-proletar413-p1 Пролетарская, д. 413
10.228.115.200 qf1-mkp-proletar454-p2 Горького, д. 214
