10.228.76.240 d1-kdr-ignat5-p3 Игнатова, д. 5
10.228.76.64 d1-kdr-ignat16-p2 Игнатова, д. 16
10.228.76.78 d1-kdr-ignat10-p2 Игнатова, д. 10
10.228.76.70 d1-kdr-ignat2-p1 Игнатова, д. 2
10.228.76.242 d1-kdr-ignat33-p3 Игнатова, д. 33
10.228.76.243 d2-kdr-ignat33-p3 Игнатова, д. 33
10.228.79.48 es2-kdr-pocht80-1-p3 Мачуги В.Н., д. 80/к.1
10.228.76.156 es1-kdr-pocht80-1-p3 Мачуги В.Н., д. 80/к.1
10.228.76.145 d1-kdr-pocht72-p1 Мачуги В.Н., д. 72
10.228.65.242 qs1-kdr-ippodrom49-p1 Ипподромная, д. 49
10.228.65.244 qs1-kdr-ippodrom49-p5 Ипподромная, д. 49
10.228.65.245 qs1-kdr-ippodrom49-p7 Ипподромная, д. 49
10.228.65.236 qs1-kdr-ippodrom53-p2 Ипподромная, д. 53
10.228.73.136 qs1-kdr-kavkaz137-2 Кавказская, д. 137/к.2
10.228.73.135 qs1-kdr-kavkaz137-1 Кавказская, д. 137/к.1
10.228.68.217 qs1-kdr-kalinina13-43-p2 Калинина, д. 13/к.43
10.228.68.219 qs2-kdr-kalinina13-43-p5 Калинина, д. 13/к.43
10.228.73.20 qs1-kdr-kalinina13-51 Калинина, д. 13/к.51
10.228.73.21 qs2-kdr-kalinina13-51 Калинина, д. 13/к.51
10.228.73.15 qs1-kdr-kalinina13-50 Калинина, д. 13/к.50
10.228.73.23 qs1-kdr-kalinina13-44-p2 Калинина, д. 13/к.44
10.228.66.43 qs2-kdr-marksa14-p3 Карла Маркса, д. 14
10.228.65.208 qs1-kdr-averkieva2-p1 Аверкиева А.А., д. 2
10.228.65.66 es1-kdr-averkieva12-p2 Аверкиева А.А., д. 12
10.228.65.74 qs1-kdr-averkieva14-p1 Аверкиева А.А., д. 14
10.228.65.76 qs1-kdr-averkieva14-p2 Аверкиева А.А., д. 14
10.228.71.221 qs2-kdr-yatskova2-p1 Яцкова И.В., д. 2
10.228.76.99 d1-kdr-gidro33-p3 Гидростроителей, д. 33
10.228.76.100 d1-kdr-gidro37-p3 Гидростроителей, д. 37
10.228.76.85 d1-kdr-gidro39-p3 Гидростроителей, д. 39
10.228.79.22 qs3-kdr-gidro43-p2 Гидростроителей, д. 43
10.228.79.13 qs2-kdr-gidro43-p2 Гидростроителей, д. 43
10.228.76.95 d1-kdr-gidro45-p3 Гидростроителей, д. 45
10.228.76.200 d1-kdr-gidro22-p1 Гидростроителей, д. 22
10.228.76.119 d1-kdr-gidro23-p3 Гидростроителей, д. 23
10.228.76.163 d1-kdr-gidro18 Гидростроителей, д. 18
10.228.76.129 qs1-kdr-gidro15-p3 Гидростроителей, д. 15
10.228.76.132 d1-kdr-gidro17-p1 Гидростроителей, д. 17
10.228.76.196 d1-kdr-gidro28-p2 Гидростроителей, д. 28
10.228.76.197 qs1-kdr-gidro28-p2 Гидростроителей, д. 28
10.228.76.45 d1-kdr-gidro32-p3 Гидростроителей, д. 32
10.228.76.50 ls1-kdr-gidro34-p2 Гидростроителей, д. 34
10.228.70.31 qs1-kdr-dalnjaja39-3-p2 Дальняя, д. 39/к.3
10.228.70.34 qs1-kdr-dalnjaja39-3-p4 Дальняя, д. 39/к.3
10.228.70.43 qs1-kdr-dalnjaja39-2-p1 Дальняя, д. 39/к.2
10.228.71.97 qs1-kdr-derbent18-3-p1 Дербентская, д. 18/к.3
10.228.71.96 qs1-kdr-derbent18-p2 Дербентская, д. 18
10.228.74.13 qs1-kdr-vlasova292-p2 Михаила Власова, д. 292
10.228.79.7 d1-kdr-trudo15-p1 Трудовой Славы, д. 15
10.228.76.125 d1-kdr-trudo20-p4 Трудовой Славы, д. 20
10.228.76.126 d2-kdr-trudo20-p4 Трудовой Славы, д. 20
10.228.76.124 d1-kdr-trudo16-p3 Трудовой Славы, д. 16
10.228.67.27 es1-kdr-turgeneva136-p3 Тургенева, д. 136
10.228.67.114 d2-kdr-turgeneva126 Тургенева, д. 126
10.228.67.117 qs1-kdr-turgeneva126 Тургенева, д. 126
10.228.67.55 qs1-kdr-turgeneva179-p2 Тургенева, д. 179
10.228.77.109 qs1-kdr-tulae4-1-p2 Тюляева, д. 4/к.1
10.228.78.18 ls1-kdr-tulae13-p2 Тюляева, д. 13
10.228.78.19 qs1-kdr-tulae13-p2 Тюляева, д. 13
10.228.78.17 ls1-kdr-tulae13-p4 Тюляева, д. 13
10.228.77.44 d1-kdr-tulae20-p3 Тюляева, д. 20
10.228.78.8 qs1-kdr-tulae20-p3 Тюляева, д. 20
10.228.77.243 d2-kdr-tulae5-p2 Тюляева, д. 5
10.228.77.251 d1-kdr-tulae37-2-p1 Тюляева, д. 37/к.2
10.228.78.32 q1-kdr-tulae37-1-p2 Тюляева, д. 37/к.1
10.228.77.247 d1-kdr-tulae19-2-p1 Тюляева, д. 19/к.2
10.228.77.250 d1-kdr-tulae19-2-p7 Тюляева, д. 19/к.2
10.228.71.92 qs1-kdr-ukr47-p2 Украинская, д. 47
10.228.77.83 qs1-kdr-urals113 Уральская, д. 113
10.228.77.78 qs1-kdr-urals111-1-p1 Уральская, д. 111/к.1
10.228.77.185 d1-kdr-urals184-p2 Уральская, д. 184
10.228.77.183 d1-kdr-urals184-p3 Уральская, д. 184
10.228.77.181 d1-kdr-urals182-p2 Уральская, д. 182
10.228.77.186 d1-kdr-urals180-p3 Уральская, д. 180
10.228.77.20 d1-kdr-urals194-p3 Уральская, д. 194
10.228.77.21 d2-kdr-urals194-p3 Уральская, д. 194
10.228.77.42 d1-kdr-urals172-p3 Уральская, д. 172
10.228.68.151 qs1-kdr-prom21-3-p2 Промышленная, д. 21/к.3
10.228.73.26 qs2-kdr-prom33-p2 Промышленная, д. 33
10.228.73.27 qs1-kdr-prom33-p3 Промышленная, д. 33
10.228.73.28 qs2-kdr-prom33-p3 Промышленная, д. 33
10.228.68.158 qs3-kdr-prom21-7-p2 Промышленная, д. 21/к.7
10.228.68.160 qs1-kdr-prom21-7-p2 Промышленная, д. 21/к.7
10.228.68.157 qs1-kdr-prom21-8-p1 Промышленная, д. 21/к.8
10.228.68.165 es1-kdr-prom21-8-p1 Промышленная, д. 21/к.8
